benchmarks,Total routing area,Total logic block area,Total area,Crit Path
boxcar,35914000,1194730,37108730,9.47723
cordic,35914000,10778800,46692800,13.1075
cordictanh,35914000,7221800,43135800,29.3721
Divide,35914000,970092,36884092,16.4035
GrayCounter,35914000,53894,35867894,3.32888
LCDmodule,35914000,323364,36237364,6.71163
LED_BCD8x7seg,35914000,485046,36399046,10.7936
Murax,35914000,16708100,52622100,19.3017
music,35914000,485046,36399046,7.16559
picorv32,35914000,8641160,44555160,18.6061
pong,35914000,808410,36722410,11.6952
PushButton_Debouncer,35914000,107788,36021788,9.1866
PWM,35914000,323364,36237364,5.32758
quad,35914000,107788,36021788,4.45386
RCServo,35914000,377258,36291258,8.6069
seqcordic,35914000,1940180,37854180,16.7462
seqpolar,35914000,2533020,38447020,21.8747
simplfir,35914000,215576,36129576,7.34417
TaskAck_CrossDomain,35914000,53894,35967894,3.98639
topolar,35914000,14605300,50519300,16.4555
zipcore,35914000,25330200,61244200,29.0005
VexRiscv,35914000,6539290,42453290,19.7419
